,Fold selected features,Fold nb of features
Fold 0,"['CCL20', 'CRTAC1', 'LGALS1', 'MZB1', 'PON3']",5
Fold 1,"['JUN', 'MDGA1', 'MZB1', 'PON3', 'SDC1', 'TNFRSF8']",6
Fold 2,"['MZB1', 'PON3', 'TNFRSF8']",3
Fold 3,"['CAPG', 'CCL15', 'CEACAM3', 'CPA2', 'CRTAC1', 'CSF1', 'CTSH', 'CXCL8', 'DSG4', 'FBP1', 'FOSB', 'HPGDS', 'IGF2R', 'IL2RA', 'JUN', 'MDGA1', 'MZB1', 'PON3', 'TNC', 'TNFRSF8', 'XPNPEP2']",21
Fold 4,"['CCL20', 'CRTAC1', 'HLA-DRA', 'LGALS1', 'LGALS9', 'MDGA1', 'MZB1', 'NCAM2', 'TFPI2', 'VWA1']",10
Fold 5,"['CCL20', 'CCL7', 'CNTN1', 'CRTAC1', 'CTSH', 'DSG4', 'FBP1', 'FOSB', 'LGALS9', 'MDGA1', 'MZB1', 'NOMO1', 'TFPI2', 'TINAGL1']",14
Fold 6,"['CCL20', 'CXCL13', 'MUC13', 'MZB1']",4
Fold 7,"['ANGPTL2', 'CAPG', 'CCL20', 'CD5', 'CES2', 'CNTN5', 'CRTAC1', 'DDX58', 'DSG4', 'EZR', 'FCAR', 'FOSB', 'GNLY', 'IL2RA', 'JUN', 'LGALS1', 'LILRA5', 'LRRC25', 'MAD1L1', 'MDGA1', 'MZB1', 'POLR2F', 'PON3', 'PSIP1', 'S100A11', 'SERPINB8', 'TMPRSS5', 'TNFRSF8', 'XPNPEP2']",29
Fold 8,"['ADGRG2', 'C4BPB', 'CA6', 'CCL15', 'CCL19', 'CCL7', 'CD300C', 'CEACAM5', 'CES2', 'CNTN5', 'CPA2', 'CRTAC1', 'CTSH', 'CTSL', 'CTSS', 'CXCL8', 'DDX58', 'DKK4', 'DSG4', 'FOSB', 'GDF15', 'GNLY', 'GPA33', 'GZMA', 'HLA-DRA', 'IL2RA', 'IL32', 'JUN', 'KIR2DL3', 'KRT19', 'LAIR2', 'LGALS1', 'LGALS9', 'MDGA1', 'MSLN', 'MZB1', 'PLAUR', 'PON3', 'SDC1', 'TINAGL1', 'TNC', 'TNFRSF8', 'VEGFA']",43
Fold 9,"['ADGRG1', 'CCL15', 'CCL20', 'CHI3L1', 'CXCL8', 'DSG4', 'FCAR', 'FGF21', 'FOSB', 'GDF15', 'LGALS1', 'LGALS9', 'LILRB1', 'LRRC25', 'MZB1', 'PON3', 'S100A16', 'TFPI2']",18
Fold 10,"['CCL20', 'CLSPN', 'CRTAC1', 'CTSH', 'FOSB', 'GNLY', 'IL5RA', 'JUN', 'MDGA1', 'MZB1', 'PON3']",11
Fold 11,"['CCL20', 'CNTN1', 'CRTAC1', 'LGALS1', 'MZB1', 'PON3', 'TNFRSF8', 'XPNPEP2']",8
Fold 12,"['CXCL8', 'DSG4', 'HPGDS', 'LGALS9', 'MZB1', 'PON3', 'SDC1', 'SPINT1', 'TNC', 'VWF']",10
Fold 13,"['CCL20', 'CRTAC1', 'HLA-DRA', 'LGALS1', 'MZB1']",5
Fold 14,"['CCL20', 'CTSH', 'CXCL8', 'LGALS1', 'MZB1']",5
Fold 15,"['ANGPTL2', 'CCL20', 'CRTAC1', 'CTSL', 'CXCL8', 'DSG4', 'FCAR', 'FOSB', 'HLA-DRA', 'JUN', 'LGALS1', 'MZB1', 'NOMO1', 'PLAUR', 'PON3', 'TNFRSF8']",16
Fold 16,"['CCL20', 'LGALS1', 'MSLN', 'MZB1']",4
Fold 17,"['CCL20', 'CCL7', 'CES2', 'CNTN1', 'CPA2', 'CRTAC1', 'CTSH', 'DSG4', 'IL32', 'LILRB1', 'MDGA1', 'MZB1', 'PON3', 'SDC1', 'SIGLEC7', 'SPINK6']",16
Fold 18,"['CRTAC1', 'FBP1', 'LGALS9', 'MDGA1', 'MZB1', 'PON3', 'TNFRSF8']",7
Fold 19,"['CCL20', 'CRTAC1', 'JUN', 'LGALS1', 'MZB1', 'S100A16']",6
Fold 20,"['CCL15', 'CCL20', 'CRTAC1', 'FBP1', 'LGALS1', 'MET', 'MZB1', 'NDRG1', 'PON3']",9
Fold 21,"['CCL20', 'CCL7', 'CRTAC1', 'CXCL8', 'FBP1', 'FOSB', 'LGALS1', 'LGALS9', 'MSLN', 'MZB1', 'PON3', 'TFPI2']",12
Fold 22,"['CCL20', 'CRTAC1', 'CTSH', 'FCAR', 'IL2RA', 'JUN', 'LGALS1', 'MSR1', 'MZB1', 'TNFRSF8']",10
Fold 23,"['MDGA1', 'MZB1', 'PON3']",3
Fold 24,"['CAPG', 'CPA2', 'CTSH', 'DSG4', 'MDGA1', 'MZB1', 'PON3', 'TNC']",8
